TEAM,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
BOS,W,266,110,38,84,45.2,13,36,36.1,21,26,80.8,5,48,53,24,8,4,17,24
DEN,W,241,114,42,86,48.8,15,32,46.9,15,20,75,14,35,49,18,6,3,13,13
WAS,W,240,99,39,74,52.7,9,24,37.5,12,17,70.6,8,38,46,23,4,1,16,18
SAS,W,240,96,40,89,44.9,10,31,32.3,6,6,100,14,38,52,29,7,5,18,17
POR,W,240,100,33,83,39.8,6,15,40,28,32,87.5,15,45,60,11,1,9,15,23
CLE,W,239,116,42,80,52.5,16,33,48.5,16,17,94.1,7,35,42,28,4,2,11,14
NYK,W,240,107,35,81,43.2,13,34,38.2,24,25,96,14,37,51,24,11,5,22,26
PHX,W,239,113,45,89,50.6,7,27,25.9,16,22,72.7,9,39,48,32,5,4,12,16
LAL,W,240,127,53,100,53,12,32,37.5,9,16,56.3,13,33,46,36,11,5,15,27
TOR,W,240,100,40,90,44.4,10,39,25.6,10,14,71.4,11,37,48,20,8,7,7,19
DET,W,240,100,39,83,47,8,25,32,14,20,70,11,26,37,25,10,2,19,21
IND,W,241,120,51,85,60,11,23,47.8,7,8,87.5,9,33,42,33,9,7,12,14
GSW,W,241,118,46,90,51.1,10,24,41.7,16,23,69.6,6,51,57,29,8,14,15,27
UTA,W,240,125,47,98,48,14,34,41.2,17,18,94.4,14,40,54,31,10,4,10,19
DAL,W,241,111,38,79,48.1,19,38,50,16,19,84.2,7,42,49,27,7,2,16,26
CHA,W,240,102,34,87,39.1,11,26,42.3,23,29,79.3,8,41,49,20,7,9,8,16
BOS,W,240,110,39,82,47.6,16,34,47.1,16,20,80,9,32,41,21,9,6,15,22
HOU,W,238,105,35,78,44.9,18,43,41.9,17,21,81,9,36,45,21,8,9,16,24
POR,W,242,102,38,70,54.3,10,21,47.6,16,21,76.2,5,39,44,19,6,8,17,22
GSW,W,241,124,50,91,54.9,7,23,30.4,17,20,85,11,37,48,25,5,6,12,18
CLE,W,265,118,42,90,46.7,11,33,33.3,23,29,79.3,8,43,51,24,9,4,15,20
TOR,W,240,107,44,78,56.4,9,26,34.6,10,11,90.9,3,37,40,29,4,11,12,19
BKN,W,240,118,43,84,51.2,17,37,45.9,15,20,75,4,32,36,27,8,2,12,21
CHI,W,240,123,47,91,51.6,17,34,50,12,13,92.3,4,31,35,26,9,2,11,23
DEN,W,242,146,56,89,62.9,18,35,51.4,16,21,76.2,13,35,48,37,5,4,14,15
MIA,W,240,91,34,83,41,10,35,28.6,13,18,72.2,10,42,52,21,6,7,15,19
IND,W,239,107,39,89,43.8,15,28,53.6,14,21,66.7,13,38,51,22,4,5,10,13
PHX,W,241,122,48,103,46.6,13,32,40.6,13,19,68.4,9,35,44,28,10,5,13,22
MIN,W,240,111,39,84,46.4,13,30,43.3,20,23,87,11,37,48,27,7,0,10,18
SAC,W,240,86,36,85,42.4,4,14,28.6,10,15,66.7,12,31,43,20,11,5,13,22
SAS,W,241,104,34,77,44.2,14,35,40,22,28,78.6,12,32,44,23,6,7,13,18
BOS,W,240,92,26,79,32.9,7,32,21.9,33,38,86.8,7,45,52,15,8,5,15,15
HOU,W,240,142,43,90,47.8,21,44,47.7,35,38,92.1,12,39,51,27,9,9,14,20
PHI,W,241,115,42,86,48.8,7,32,21.9,24,30,80,8,44,52,27,7,15,16,19
WAS,W,241,102,32,78,41,9,19,47.4,29,31,93.5,11,29,40,9,8,2,12,19
POR,W,240,99,38,87,43.7,14,27,51.9,9,13,69.2,10,31,41,21,7,2,12,10
IND,W,241,116,43,85,50.6,12,24,50,18,20,90,5,31,36,29,6,6,12,17
MIL,W,240,99,38,78,48.7,8,22,36.4,15,20,75,11,32,43,24,10,16,15,19
ATL,W,239,126,50,79,63.3,16,32,50,10,16,62.5,9,44,53,40,9,6,18,23
CLE,W,240,115,42,95,44.2,13,38,34.2,18,20,90,16,35,51,25,9,4,13,24
OKC,W,241,92,26,72,36.1,8,30,26.7,32,37,86.5,11,37,48,15,7,2,13,19
MIN,W,239,98,39,87,44.8,9,18,50,11,16,68.8,11,30,41,27,9,4,6,16
NYK,W,239,106,38,81,46.9,9,21,42.9,21,25,84,12,33,45,18,4,5,11,19
TOR,W,240,125,45,76,59.2,16,34,47.1,19,20,95,6,31,37,27,8,6,21,20
SAS,W,240,97,35,79,44.3,6,26,23.1,21,27,77.8,8,39,47,18,9,7,12,16
TOR,W,242,129,41,78,52.6,14,30,46.7,33,42,78.6,5,31,36,28,11,4,12,30
BOS,W,239,109,39,86,45.3,9,27,33.3,22,27,81.5,9,40,49,15,8,3,14,14
NOP,W,240,106,41,75,54.7,13,33,39.4,11,17,64.7,7,31,38,31,10,5,19,13
CLE,W,240,104,35,88,39.8,16,45,35.6,18,22,81.8,14,34,48,21,7,7,20,21
LAL,W,241,100,39,92,42.4,14,33,42.4,8,13,61.5,9,44,53,17,6,6,16,20
POR,W,240,99,38,73,52.1,7,21,33.3,16,18,88.9,8,35,43,22,12,5,21,18
GSW,W,239,110,44,88,50,8,23,34.8,14,16,87.5,12,38,50,35,3,5,16,21
MIL,W,240,110,40,82,48.8,12,22,54.5,18,25,72,10,26,36,23,6,5,9,19
PHI,W,239,109,38,77,49.4,7,32,21.9,26,35,74.3,10,41,51,27,9,2,20,26
WAS,W,239,110,44,86,51.2,11,34,32.4,11,12,91.7,10,40,50,30,7,1,11,21
MIN,W,240,109,37,71,52.1,10,20,50,25,29,86.2,5,35,40,22,9,5,15,13
BOS,W,239,95,35,87,40.2,10,26,38.5,15,19,78.9,15,31,46,24,9,2,14,18
HOU,W,243,118,43,90,47.8,17,47,36.2,15,18,83.3,10,37,47,24,10,5,13,20
DET,W,241,112,42,87,48.3,14,28,50,14,20,70,11,43,54,24,2,5,13,17
OKC,W,239,112,36,72,50,15,32,46.9,25,33,75.8,3,34,37,21,10,4,15,23
SAS,W,240,133,51,85,60,18,27,66.7,13,16,81.3,8,36,44,33,5,6,13,16
MIL,W,239,98,35,85,41.2,6,23,26.1,22,26,84.6,9,33,42,16,11,4,12,27
CLE,W,241,111,35,81,43.2,12,31,38.7,29,35,82.9,10,43,53,18,8,3,17,18
NYK,W,240,118,47,90,52.2,12,27,44.4,12,15,80,8,32,40,29,6,6,11,22
UTA,W,239,114,41,85,48.2,11,29,37.9,21,25,84,12,32,44,19,12,3,16,29
PHX,W,242,118,46,86,53.5,10,26,38.5,16,24,66.7,7,39,46,21,4,10,18,25
HOU,W,242,111,37,83,44.6,16,45,35.6,21,28,75,11,35,46,18,14,4,15,19
GSW,W,241,135,48,82,58.5,14,27,51.9,25,26,96.2,4,35,39,31,15,11,22,23
WAS,W,241,113,42,78,53.8,7,24,29.2,22,28,78.6,11,31,42,22,14,10,23,22
NOP,W,241,111,43,80,53.8,6,16,37.5,19,24,79.2,8,43,51,26,7,4,23,19
DEN,W,241,125,46,87,52.9,12,29,41.4,21,27,77.8,13,37,50,29,9,4,12,16
ORL,W,240,128,43,82,52.4,13,28,46.4,29,43,67.4,7,37,44,29,8,5,18,20
IND,W,240,105,43,84,51.2,12,29,41.4,7,12,58.3,7,44,51,27,8,3,18,17
MIL,W,240,94,41,89,46.1,5,18,27.8,7,14,50,11,36,47,27,10,7,13,13
BOS,W,240,90,30,84,35.7,9,31,29,21,25,84,9,40,49,15,6,5,13,26
OKC,W,241,120,40,78,51.3,11,26,42.3,29,40,72.5,11,29,40,23,8,7,11,29
MIA,W,240,84,30,77,39,10,25,40,14,18,77.8,7,41,48,10,9,6,19,20
BKN,W,240,101,39,91,42.9,12,38,31.6,11,19,57.9,11,38,49,25,7,4,10,13
DET,W,240,111,39,89,43.8,12,30,40,21,27,77.8,20,31,51,23,7,5,17,18
TOR,W,238,122,45,98,45.9,16,42,38.1,16,23,69.6,10,38,48,27,8,4,12,24
SAC,W,240,109,40,93,43,12,27,44.4,17,28,60.7,8,37,45,29,6,5,9,19
HOU,W,240,117,36,77,46.8,16,46,34.8,29,36,80.6,17,28,45,21,11,5,22,27
WAS,W,241,111,43,83,51.8,7,21,33.3,18,20,90,7,38,45,20,7,4,19,31
DEN,W,241,102,38,82,46.3,9,27,33.3,17,22,77.3,14,31,45,27,7,7,18,15
DET,W,241,114,43,83,51.8,12,27,44.4,16,25,64,8,42,50,25,3,5,15,22
MIA,W,239,126,43,81,53.1,12,30,40,28,35,80,11,42,53,21,5,4,14,25
ORL,W,241,112,43,80,53.8,13,28,46.4,13,22,59.1,6,23,29,31,16,7,12,15
GSW,W,241,125,48,85,56.5,15,36,41.7,14,18,77.8,3,42,45,37,10,9,19,23
BOS,W,240,107,38,98,38.8,7,29,24.1,24,31,77.4,16,32,48,20,8,6,13,20
DAL,W,240,113,43,91,47.3,11,30,36.7,16,20,80,11,42,53,26,6,8,11,23
PHI,W,240,104,34,81,42,12,27,44.4,24,30,80,8,48,56,23,5,6,22,34
CLE,W,240,124,41,82,50,9,18,50,33,38,86.8,12,27,39,18,7,4,12,16
NOP,W,240,117,44,87,50.6,14,35,40,15,22,68.2,11,32,43,23,6,5,12,18
NYK,W,241,118,45,75,60,12,25,48,16,21,76.2,6,29,35,29,5,5,16,19
DEN,W,240,112,44,93,47.3,9,34,26.5,15,20,75,9,38,47,26,16,9,19,21
MEM,W,240,98,35,73,47.9,7,19,36.8,21,25,84,5,29,34,18,8,10,14,21
SAS,W,240,120,45,84,53.6,15,28,53.6,15,19,78.9,11,28,39,33,13,3,13,21
SAC,W,241,94,37,79,46.8,9,24,37.5,11,12,91.7,5,42,47,21,6,5,23,24
TOR,W,239,119,44,81,54.3,13,25,52,18,24,75,7,30,37,22,5,0,15,22
GSW,W,239,97,32,87,36.8,11,32,34.4,22,24,91.7,13,38,51,20,12,10,14,21
BOS,W,240,110,39,81,48.1,14,36,38.9,18,22,81.8,7,35,42,28,3,3,13,21
BKN,W,240,98,35,87,40.2,8,32,25,20,29,69,11,37,48,20,10,4,16,30
WAS,W,239,107,40,85,47.1,11,23,47.8,16,23,69.6,11,35,46,19,9,3,17,26
LAL,W,239,107,40,85,47.1,9,27,33.3,18,23,78.3,8,38,46,25,5,4,16,16
ATL,W,239,117,41,86,47.7,11,25,44,24,34,70.6,11,33,44,24,4,6,17,20
MIN,W,241,112,38,83,45.8,10,24,41.7,26,30,86.7,12,42,54,20,4,4,16,19
SAS,W,240,112,44,88,50,11,22,50,13,18,72.2,8,35,43,21,9,4,9,19
BOS,W,241,104,39,89,43.8,11,33,33.3,15,20,75,9,45,54,26,10,1,13,21
NYK,W,241,108,44,88,50,6,23,26.1,14,19,73.7,12,34,46,24,8,7,12,21
POR,W,241,103,37,74,50,7,20,35,22,28,78.6,7,37,44,20,6,7,21,20
HOU,W,241,137,48,81,59.3,23,39,59,18,21,85.7,5,37,42,26,9,7,20,24
MIA,W,239,104,37,84,44,14,36,38.9,16,19,84.2,10,27,37,23,12,6,16,26
MEM,W,239,113,40,84,47.6,13,31,41.9,20,24,83.3,9,30,39,21,8,7,11,28
GSW,W,240,127,50,91,54.9,18,40,45,9,17,52.9,7,34,41,38,13,4,13,23
MIN,W,240,112,43,79,54.4,10,24,41.7,16,20,80,10,38,48,33,7,9,18,20
NOP,W,264,96,35,87,40.2,9,31,29,17,22,77.3,5,47,52,23,9,4,13,9
DET,W,240,108,40,79,50.6,13,24,54.2,15,22,68.2,8,27,35,28,10,3,14,19
HOU,W,239,119,42,89,47.2,16,47,34,19,23,82.6,9,35,44,28,14,4,12,16
CHI,W,240,105,40,85,47.1,14,29,48.3,11,12,91.7,9,39,48,23,6,2,14,13
DEN,W,240,95,36,80,45,9,23,39.1,14,25,56,13,28,41,17,9,6,17,16
NOP,W,240,99,36,89,40.4,7,29,24.1,20,26,76.9,9,44,53,23,9,4,12,22
CLE,W,241,130,46,82,56.1,12,27,44.4,26,28,92.9,8,26,34,20,11,4,14,27
PHI,W,240,121,46,92,50,18,36,50,11,14,78.6,12,38,50,34,7,9,18,20
DET,W,240,105,37,78,47.4,8,26,30.8,23,28,82.1,7,32,39,21,10,4,12,11
NYK,W,240,120,45,87,51.7,8,26,30.8,22,25,88,9,40,49,24,5,7,12,24
LAL,W,240,124,48,94,51.1,9,21,42.9,19,27,70.4,7,50,57,26,10,7,16,29
TOR,W,240,109,38,71,53.5,11,30,36.7,22,28,78.6,5,34,39,20,9,4,16,27
SAS,W,239,108,39,83,47,9,27,33.3,21,26,80.8,7,38,45,31,7,6,15,26
BOS,W,239,101,36,84,42.9,13,28,46.4,16,24,66.7,11,38,49,23,6,2,10,14
POR,W,240,113,40,86,46.5,9,22,40.9,24,27,88.9,10,31,41,22,7,4,12,21
GSW,W,241,112,43,83,51.8,14,28,50,12,16,75,5,36,41,30,11,12,14,20
PHX,W,241,122,41,83,49.4,9,24,37.5,31,38,81.6,11,34,45,23,5,5,9,24
CHA,W,239,126,45,84,53.6,14,25,56,22,29,75.9,7,34,41,21,5,3,11,18
PHI,W,240,119,46,99,46.5,13,35,37.1,14,25,56,15,38,53,36,10,4,16,26
MIN,W,240,104,41,83,49.4,6,22,27.3,16,24,66.7,11,36,47,20,13,3,21,21
MIA,W,240,97,34,83,41,12,31,38.7,17,19,89.5,3,45,48,21,8,0,11,19
DEN,W,239,129,47,88,53.4,16,32,50,19,29,65.5,9,34,43,35,9,4,12,20
ORL,W,238,101,38,75,50.7,13,29,44.8,12,14,85.7,6,32,38,25,6,8,24,22
LAC,W,240,119,41,78,52.6,13,28,46.4,24,29,82.8,7,42,49,27,9,5,16,20
HOU,W,242,119,42,88,47.7,19,52,36.5,16,21,76.2,9,37,46,21,6,4,14,20
IND,W,239,124,49,90,54.4,16,26,61.5,10,13,76.9,8,35,43,35,9,1,11,23
BOS,W,240,113,40,82,48.8,17,41,41.5,16,19,84.2,16,36,52,30,10,3,16,19
UTA,W,263,112,34,90,37.8,13,29,44.8,31,36,86.1,10,45,55,16,9,8,14,21
OKC,W,241,110,40,81,49.4,12,28,42.9,18,21,85.7,9,37,46,24,6,3,15,20
PHX,W,239,122,45,96,46.9,10,22,45.5,22,24,91.7,10,56,66,18,5,5,18,26
LAL,W,239,113,45,91,49.5,12,26,46.2,11,14,78.6,11,42,53,30,9,5,14,14
IND,W,240,101,36,85,42.4,12,29,41.4,17,22,77.3,14,39,53,25,8,7,14,17
CHA,W,239,104,37,89,41.6,7,17,41.2,23,29,79.3,10,46,56,15,3,7,11,22
MIN,W,265,125,41,91,45.1,11,23,47.8,32,35,91.4,10,30,40,20,16,4,16,25
PHI,W,240,115,44,80,55,10,24,41.7,17,24,70.8,7,41,48,27,10,4,19,31
ORL,W,239,115,43,85,50.6,16,34,47.1,13,18,72.2,6,37,43,27,10,1,16,19
BOS,W,239,108,42,88,47.7,11,31,35.5,13,16,81.3,15,39,54,24,10,6,13,22
NYK,W,240,116,41,82,50,13,32,40.6,21,23,91.3,11,38,49,27,8,10,22,27
GSW,W,241,141,52,89,58.4,14,29,48.3,23,30,76.7,14,32,46,37,8,8,12,23
TOR,W,240,99,39,87,44.8,8,24,33.3,13,17,76.5,8,39,47,17,10,9,9,14
UTA,W,241,104,38,81,46.9,16,35,45.7,12,15,80,6,29,35,25,16,8,14,17
DET,W,240,115,43,93,46.2,12,27,44.4,17,17,100,17,20,37,22,16,0,13,9
CHA,W,242,120,53,97,54.6,6,18,33.3,8,17,47.1,12,47,59,31,6,7,17,24
IND,W,239,97,36,77,46.8,10,22,45.5,15,20,75,6,38,44,21,9,3,19,20
NYK,W,240,114,42,89,47.2,13,28,46.4,17,21,81,11,40,51,27,9,6,14,26
MIL,W,241,117,44,81,54.3,13,26,50,16,21,76.2,5,38,43,30,9,3,14,27
WAS,W,242,110,40,85,47.1,17,34,50,13,20,65,13,36,49,28,9,3,15,18
DEN,W,240,124,47,94,50,11,20,55,19,22,86.4,4,42,46,23,7,7,6,22
POR,W,240,114,40,91,44,11,26,42.3,23,28,82.1,12,41,53,27,8,7,14,26
MEM,W,240,103,40,85,47.1,14,33,42.4,9,12,75,6,36,42,26,10,6,9,20
OKC,W,239,101,39,88,44.3,13,34,38.2,10,14,71.4,11,41,52,28,16,8,11,17
BOS,W,240,96,34,81,42,6,23,26.1,22,26,84.6,11,30,41,15,11,5,12,14
DET,W,241,95,36,88,40.9,9,28,32.1,14,21,66.7,12,38,50,16,11,6,12,20
PHI,W,240,112,43,87,49.4,16,35,45.7,10,14,71.4,11,31,42,25,10,1,13,21
NOP,W,239,123,49,95,51.6,13,33,39.4,12,16,75,10,37,47,33,10,4,11,20
UTA,W,240,96,37,79,46.8,13,31,41.9,9,13,69.2,14,35,49,18,9,5,21,20
HOU,W,241,109,38,85,44.7,22,57,38.6,11,13,84.6,7,44,51,21,5,6,15,26
MIN,W,239,119,42,86,48.8,8,22,36.4,27,35,77.1,17,27,44,23,5,7,15,21
DEN,W,240,105,42,91,46.2,4,20,20,17,23,73.9,11,35,46,25,8,4,11,12
ORL,W,239,114,48,84,57.1,11,23,47.8,7,14,50,6,39,45,22,9,7,17,24
GSW,W,240,120,46,95,48.4,10,38,26.3,18,20,90,15,38,53,33,7,13,17,20
NYK,W,240,107,44,98,44.9,9,27,33.3,10,17,58.8,19,36,55,19,7,6,11,19
TOR,W,241,101,40,93,43,7,29,24.1,14,20,70,9,31,40,27,12,4,12,24
LAC,W,241,104,36,77,46.8,9,28,32.1,23,36,63.9,14,32,46,11,4,5,11,19
CHI,W,240,91,31,86,36,7,32,21.9,22,29,75.9,18,44,62,20,5,4,13,15
BOS,W,241,96,33,78,42.3,11,30,36.7,19,22,86.4,6,39,45,21,7,4,15,14
NOP,W,240,114,42,86,48.8,13,32,40.6,17,23,73.9,10,37,47,22,5,3,15,24
MEM,W,239,96,30,73,41.1,10,34,29.4,26,30,86.7,9,37,46,18,7,6,18,23
GSW,W,241,117,43,77,55.8,12,26,46.2,19,22,86.4,6,31,37,32,10,7,17,15
PHX,W,240,97,42,96,43.8,6,19,31.6,7,9,77.8,16,39,55,18,8,5,16,25
LAL,W,265,102,41,92,44.6,7,30,23.3,13,16,81.3,6,47,53,27,9,5,21,26
SAS,W,239,117,42,76,55.3,10,17,58.8,23,30,76.7,8,36,44,18,6,3,13,20
HOU,W,239,105,36,75,48,12,39,30.8,21,24,87.5,7,33,40,22,11,13,19,13
CHA,W,240,110,38,81,46.9,13,31,41.9,21,26,80.8,10,40,50,17,5,5,14,16
DET,W,242,122,48,92,52.2,15,34,44.1,11,17,64.7,12,35,47,32,7,3,14,22
BKN,W,241,112,40,93,43,17,46,37,15,21,71.4,10,28,38,22,11,3,12,22
OKC,W,241,114,43,89,48.3,10,27,37,18,26,69.2,16,33,49,26,8,8,20,27
DAL,W,239,103,36,74,48.6,11,26,42.3,20,29,69,4,31,35,20,6,4,11,20
ORL,W,241,125,41,83,49.4,8,23,34.8,35,40,87.5,6,38,44,20,8,5,11,23
POR,W,240,103,33,88,37.5,10,29,34.5,27,33,81.8,18,45,63,17,7,7,18,22
CLE,W,240,119,43,83,51.8,16,38,42.1,17,22,77.3,8,31,39,28,5,3,9,14
LAC,W,240,102,39,83,47,10,29,34.5,14,21,66.7,11,33,44,21,12,4,13,16
BOS,W,241,110,37,75,49.3,14,29,48.3,22,27,81.5,5,36,41,26,11,7,12,24
IND,W,238,130,56,84,66.7,10,22,45.5,8,11,72.7,8,34,42,31,8,2,17,21
PHI,W,242,97,35,75,46.7,9,24,37.5,18,24,75,8,41,49,25,11,0,21,24
WAS,W,241,109,37,84,44,9,30,30,26,28,92.9,10,28,38,24,13,3,15,24
MEM,W,240,98,29,68,42.6,6,19,31.6,34,37,91.9,3,35,38,16,4,2,12,21
MIA,W,241,104,39,85,45.9,14,37,37.8,12,18,66.7,10,31,41,21,12,6,19,19
MIL,W,241,103,40,85,47.1,9,26,34.6,14,16,87.5,5,37,42,24,8,4,13,27
GSW,W,240,133,48,86,55.8,15,39,38.5,22,26,84.6,10,40,50,33,6,8,16,23
PHX,W,240,117,42,77,54.5,10,30,33.3,23,27,85.2,6,39,45,20,6,5,20,25
SAS,W,239,101,40,90,44.4,5,20,25,16,23,69.6,18,37,55,19,4,12,20,22
MIN,W,240,115,43,86,50,10,25,40,19,23,82.6,10,35,45,25,5,1,17,17
BKN,W,240,116,41,87,47.1,11,27,40.7,23,34,67.6,13,38,51,27,12,8,18,27
NOP,W,240,119,47,83,56.6,10,32,31.3,15,21,71.4,6,36,42,26,14,5,18,20
LAC,W,241,130,48,88,54.5,12,26,46.2,22,30,73.3,10,42,52,26,12,2,12,32
HOU,W,239,107,39,82,47.6,11,47,23.4,18,22,81.8,8,46,54,17,12,4,13,24
ORL,W,238,114,40,90,44.4,17,35,48.6,17,20,85,12,38,50,28,7,6,12,28
DEN,W,240,96,37,85,43.5,10,30,33.3,12,20,60,18,40,58,25,7,2,16,19
DET,W,239,111,44,91,48.4,9,30,30,14,15,93.3,15,28,43,21,5,2,12,25
SAS,W,241,87,38,93,40.9,1,12,8.3,10,16,62.5,14,38,52,25,8,3,11,14
UTA,W,241,96,38,77,49.4,9,29,31,11,14,78.6,7,34,41,22,11,4,18,21
MEM,W,240,111,36,77,46.8,10,27,37,29,37,78.4,6,34,40,20,8,4,14,25
MIA,W,240,112,45,87,51.7,14,34,41.2,8,14,57.1,6,39,45,24,6,11,14,19
TOR,W,239,128,42,89,47.2,13,44,29.5,31,37,83.8,8,43,51,23,5,10,13,29
MIL,W,239,113,42,80,52.5,7,18,38.9,22,30,73.3,7,28,35,22,9,8,14,23
CHA,W,240,109,37,86,43,11,36,30.6,24,30,80,12,45,57,17,5,4,21,18
SAC,W,238,93,37,87,42.5,10,23,43.5,9,13,69.2,16,41,57,20,8,3,14,18
CLE,W,239,116,44,81,54.3,11,26,42.3,17,17,100,9,35,44,25,8,3,17,11
MIN,W,240,100,36,81,44.4,7,22,31.8,21,26,80.8,10,34,44,17,11,2,15,17
LAL,W,239,132,48,93,51.6,12,26,46.2,24,33,72.7,5,37,42,22,8,3,18,31
BKN,W,241,126,46,92,50,9,27,33.3,25,35,71.4,15,33,48,22,13,6,18,17
GSW,W,241,128,47,92,51.1,18,41,43.9,16,20,80,10,39,49,29,6,8,18,23
POR,W,240,114,46,95,48.4,9,19,47.4,13,17,76.5,11,40,51,19,5,6,9,26
WAS,W,241,115,40,75,53.3,6,17,35.3,29,35,82.9,7,30,37,25,12,7,16,18
BOS,W,240,102,35,84,41.7,10,29,34.5,22,32,68.8,14,41,55,16,4,5,19,24
TOR,W,240,117,39,83,47,13,29,44.8,26,28,92.9,13,36,49,26,10,4,17,19
LAC,W,239,108,42,107,39.3,12,33,36.4,12,13,92.3,17,42,59,23,12,3,14,20
OKC,W,242,105,39,90,43.3,11,38,28.9,16,22,72.7,13,28,41,26,14,7,18,22
UTA,W,241,106,41,81,50.6,9,24,37.5,15,16,93.8,6,30,36,28,9,5,15,18
SAS,W,240,107,41,89,46.1,8,21,38.1,17,19,89.5,12,38,50,22,8,11,11,18
POR,W,242,124,44,90,48.9,14,24,58.3,22,28,78.6,15,42,57,22,8,7,16,20
MEM,W,240,103,39,92,42.4,9,29,31,16,28,57.1,15,30,45,19,9,8,11,29
HOU,W,240,105,33,83,39.8,12,45,26.7,27,29,93.1,12,32,44,19,7,3,14,14
ATL,W,241,117,48,94,51.1,9,18,50,12,15,80,14,36,50,20,11,6,13,18
ORL,W,240,116,43,90,47.8,8,21,38.1,22,29,75.9,11,39,50,22,8,9,14,18
WAS,W,240,120,42,97,43.3,6,22,27.3,30,38,78.9,16,36,52,21,8,10,9,20
MIL,W,238,108,38,76,50,7,21,33.3,25,30,83.3,6,39,45,19,6,4,15,22
DET,W,239,102,41,96,42.7,9,26,34.6,11,12,91.7,9,38,47,24,14,3,8,21
IND,W,240,140,53,102,52,9,34,26.5,25,32,78.1,14,33,47,29,12,9,14,25
CLE,W,239,102,38,83,45.8,5,22,22.7,21,25,84,9,41,50,19,3,4,17,25
HOU,W,239,122,47,97,48.5,15,41,36.6,13,19,68.4,10,33,43,28,9,5,12,16
